(26304702, 139)
         product_module_code                 product_module_descr
5286                    7036                       SOAP SPECIALTY
5451                    1331                       PASTA MACARONI
5460                    8502                       SINUS REMEDIES
5502                    1313                   DOG AND CAT TREATS
5616                    7130                        SCOURING PADS
5790                    1346     CEREAL GRANOLA AND NATURAL TYPES
5970                    1111                      BARBECUE SAUCES
5985                    7880                   LAMPS INCANDESCENT
6078                    8440   COTTON SWABS BALLS ROLLS APLCT ETC
6465                    1464              COFFEE SOLUBLE FLAVORED
6519                    7850      LAUNDRY AND IRONING ACCESSORIES
6537                    8459    FACE CLEANSERS AND CREAMS AND LTN
6549                    8614                             PRINTERS
6591                    7280                            WAX PAPER
6675                    7284                            BAGS OVEN
6693                    7160                    CLEANERS BATHROOM
6714                    7320               BAKING CUPS AND LINERS
6720                    7460                           CIGARETTES
6936                    8443          FOOT PREPARATIONS REMAINING
6939                    5057                       WINE SPARKLING
6996                    7250                        PAPER NAPKINS
7023                    4007                    BAKERY PIES FRESH
7065                    7037    HAND CLEANERS AND HAND SANITIZERS
7092                    8519                        ACNE REMEDIES
7269                    7285                         PLASTIC WRAP
7314                    5041                        WINE VERMOUTH
7341                    7039                BATH ADDITIVES LIQUID
7494                    1463         GROUND AND WHOLE BEAN COFFEE
7698                    7242             PRE MOISTENED TOWELETTES
7731                    8471        CREME RINSES AND CONDITIONERS
7839                    7176              SPOT AND STAIN REMOVERS
7944                    7772  VACUUM AND CARPET CLEANER APPLIANCE
8064                    3608                MARGARINE AND SPREADS
8115                    1492           CANDY CHOCOLATE MINIATURES
8175                    6001      HOUSEHOLD APPLIANCE ACCESSORIES
8520                    1097          VEGETABLES REMAINING CANNED
8568                    8461       SKIN BLEACHING TONING PRODUCTS
8571                    1465                       COFFEE SOLUBLE
8583                    8473                   HAIR SPRAY WOMEN'S
8598                    3556               CHEESE PROCESSED SNACK
8607                    6020        DISHWASHING ACCESSORY PRODUCT
8616                    3612    YOGURT REFRIGERATED SHAKES DRINKS
8640                    7660                     PENS AND PENCILS
8643                    1058    VEGETABLES ASPARAGUS SHELF STABLE
8646                    2639           VEGETABLES IN SAUCE FROZEN
8676                    2641           VEGETABLES BROCCOLI FROZEN
8733                    2640              VEGETABLES MIXED FROZEN
8757                    3568          SALAD DRESSING REFRIGERATED
8760                    6034     SCHOOL AND OFFICE FASTENER PUNCH
8775                    1396                            YEAST DRY
8808                    1144               MUSHROOMS SHELF STABLE
8811                    1072  VEGETABLES CORN WHOLE KERNEL CANNED
8859                    3613        DOUGH PRODUCTS BISCUITS RFRGR
8889                    3596     DOUGH PRODUCTS SWEET ROLLS RFRGR
8913                    3614    DOUGH PRODUCTS DINNER ROLLS RFRGR
8946                    1359    WAFERS AND TOAST AND BREAD STICKS
8961                    8449                  DEODORANTS PERSONAL
8982                    1351                     TOASTER PASTRIES
8988                    3595   DOUGH PRODUCTS COOKIES BRWNS RFRGR
8997                    1360              CRACKERS FLAVORED SNACK
9003                    4001                    BAKERY BUNS FRESH
9012                    3577                   BACON REFRIGERATED
9162                    1326                SNACKS TORTILLA CHIPS
9318                    7201    INSECTICIDE FLYING INSECT AEROSOL
9477                    6028                    SMOKING ACCESSORY
9540                    8441                              INSOLES
9549                    3579                 SEAFOOD REFRIGERATED
9624                    8503               SKIN CREAM ALL PURPOSE
9642                    7521            BRUSHES KITCHEN AND SCRUB
9645                    3580                 ENTREES REFRIGERATED
9768                    2667            FRUIT JUICE ORANGE FROZEN
9783                    1458                             TEA BAGS
9786                    1456                      TEA HERBAL BAGS
9798                    7180      SPONGES AND SQUEEGEES HOUSEHOLD
9870                    8450               FOOT COMFORTS PRODUCTS
9897                    7785                     COOKWARE PRODUCT
9954                    1018                 PET SUPPLY REMAINING
9966                    1270                    SNACKS PORK RINDS
10419                   9999        REPORTED UNCLASSIFIABLE UPC'S
10422                   1501                      CANDY LOLLIPOPS
10524                   7175                         RUG CLEANERS
10551                   8551              BABY CARE PRODUCTS BATH
10578                   2607          SEAFOOD FISH BREADED FROZEN
10683                   1269                     ASIAN FOODS MISC
10788                   1491                    CANDY HARD ROLLED
10914                   7300                     FREEZER SUPPLIES
10929                   8437     FOOT PREPARATIONS ATHLETE'S FOOT
11007                   1420                                HONEY
11010                   1084     VEGETABLES POTATOES MASHED DHYDR
11124                   7373                       FIREPLACE LOGS
11127                   6021                  HOME CANNING SUPPLY
11130                   1444              HOME CANNING SEASONINGS
11226                   1535                    SUGAR SUBSTITUTES
11244                   7043                 SALT WATER SOFTENING
11256                   2626        ENTREES SEAFOOD 1 FOOD FROZEN
11469                   1225    MEAT PRODUCTS IMITATION ADDITIVES
11697                   3628    REMAINING DRINKS AND SHAKES RFRGR
11853                   8900           VIDEO PRODUCTS PRERECORDED
11856                   1229                   POTTED MEAT CANNED
11859                   1234             SPICED LUNCH MEAT CANNED
11871                   1254                   CHILI SHELF STABLE
11967                   8478                HAIR COLORING WOMEN'S
12132                   1266                        ASIAN NOODLES
12186                   7805                               GLOVES
12189                   7825             CLOTH POLISHING CLEANING
12303                   8425             COUGH SYRUPS AND TABLETS
12306                   7190                     FURNITURE POLISH
12390                   7522                     BRUSHES BATHROOM
12462                   6014                   BATHROOM ACCESSORY
12582                   7509              FOOD STORAGE CONTAINERS
12798                   8499                           HAND CREAM
12984                   8465          COLOGNE AND PERFUME WOMEN'S
13353                   1192                SALAD AND COOKING OIL
13365                   7452              PET TREATMENTS INTERNAL
13467                   7845      BROOMS MOPS AND WAX APPLICATORS
13542                   8543          MEDICAL ACCESSORY REMAINING
13620                   3606        CHEESE PROCESSED CREAM CHEESE
13731                   2619           ENTREES MEAT 1 FOOD FROZEN
13734                   2627          ENTREES ASIAN 2 FOOD FROZEN
13800                   2612        ENTREES POULTRY 2 FOOD FROZEN
14148                   1455  DESSERTS RTS SINGLE SERVINGS CANNED
14241                   3615       DOUGH PRODUCTS REMAINING RFRGR
14640                   6024     MEASURE MIXING UTENSIL CONTAINER
14829                   6017         STORAGE AND SPACE MANAGEMENT
14835                   8492          AFTER SHAVE COSMETICS MEN'S
14943                   8472                WAVE SETTING PRODUCTS
15003                   7755       COFFEE AND TEA MAKER APPLIANCE
15063                   1124    SAUCES MISCELLANEOUS SHELF STABLE
15333                   7222                    INSECT REPELLENTS
15549                   7161                             POLISHES
15564                   1497       CANDY NON CHOCOLATE MINIATURES
15573                   8438       FEMININE HYGIENE MISCELLANEOUS
15657                   4002                   BAKERY ROLLS FRESH
15675                   7038                   BATH ADDITIVES DRY
15783                   8496    WOMEN'S GIFT SETS SKIN CARE PCKGS
15825                   8470   SHAMPOO AEROSOL LIQUID LOTION PWDR
15834                   8535                  HAIR COLORING MEN'S
15867                   7345                          SODA STRAWS
16092                   1323                  SNACKS POTATO CHIPS
16116                   5000                                 BEER
16131                   1397                           SALT TABLE
16146                   8404                       TOOTH CLEANERS
16158                   5010     LIGHT BEER (LOW CALORIE ALCOHOL)
16230                   5048                    COOLERS REMAINING
16239                   1049    REMAINING DRINKS SHAKES NON RFRGR
16314                   5001              NEAR BEER MALT BEVERAGE
16329                   1328                       POPCORN POPPED
16419                   8547                   DENTAL ACCESSORIES
16431                   7140                       CLEANERS METAL
16434                   7117                 CLEANERS SEPTIC TANK
16437                   7226   AIR SPECIALTY FRESHENERS REMAINING
16533                   7120                   DRAIN PIPE OPENERS
16545                   1177                SALAD DRESSING LIQUID
16560                   1080               VEGETABLES PEAS CANNED
16716                   1303                    CAT FOOD WET TYPE
16746                   1086   VEGETABLES SWEET POTATOES YAMS CND
16995                   7846                             DUSTPANS
17346                   7030                     LAUNDRY BAR SOAP
