(26304702, 139)
         product_module_code                 product_module_descr
85599                   1093   VEGETABLES SAUERKRAUT SHELF STABLE
86139                   8420               PAIN REMEDIES HEADACHE
86667                   8433                  ANTI SLEEP PRODUCTS
86811                   7126            ABRASIVE CLEANSERS LIQUID
88473                   5033                                VODKA
88908                   7634        DIVIDERS TABS LABELS AND TAGS
89499                   8427             ANALGESIC AND CHEST RUBS
90021                   1110                      TOMATOES STEWED
90057                   1011          CANNED FRUIT FRUIT COCKTAIL
90108                   1017           CANNED FRUIT PEACHES CLING
90141                   8612      BLOOD URINE STOOL TEST PRODUCTS
90345                   1296                    MILK SHELF STABLE
90576                   7209       INSCT ANT RCH OTHR CNTNS PRDCT
90699                   1067         VEGETABLES BEANS LIMA CANNED
91182                   1507                            NUTS JARS
93315                   7764  GRIDDLE GRILL WAFFLE IRON APPLIANCE
93681                   7015               LAUNDRY TREATMENT AIDS
93717                   6030     COSMETIC NAIL GROOMING ACCESSORY
94128                   1143                      PIMENTOS CANNED
94407                   1068        VEGETABLES BEETS SHELF STABLE
94512                   1012  CANNED FRUIT FRUIT MIXES SALAD FRTS
94644                   8463                COSMETICS EYE SHADOWS
94728                   1038                FRUIT JUICE PINEAPPLE
94902                   1007                CANNED FRUIT APRICOTS
95406                   4023                      FRESH MUSHROOMS
95442                   1181         SANDWICH SPREADS RELISH TYPE
96345                   1041                  FRUIT DRINKS CANNED
96420                   7212     INSECTICIDE ANT AND ROACH POWDER
96423                   1002        PIE AND PASTRY FILLING CANNED
97329                   1297                          MILK CANNED
97335                   1437          CHOCOLATE CHIPS AND MORSELS
97416                   1436                     BAKING CHOCOLATE
97704                   1399                     SALT SUBSTITUTES
97878                   7787   AIR PURIFIER CONDITIONER FRNC FLTR
98085                   8603    COSMETICS FOUNDATION CREAM POWDER
98415                   1094            VEGETABLES SPINACH CANNED
98997                   1108                         TOMATO PASTE
99174                   3360                   PASTA REFRIGERATED
100227                  2656          BAKERY DESSERT CAKES FROZEN
100329                  1298                        MILK POWDERED
100344                  2649             BAKERY CHEESECAKE FROZEN
100356                  3591                       WHIPPING CREAM
100752                  7245                        FACIAL TISSUE
101583                  7739           BLANK COMPACT DISC AND DVD
101625                  1221               STEW BEEF SHELF STABLE
101694                  8403                 ORAL HYGIENE BRUSHES
101958                  1250               MEXICAN DINNERS CANNED
102927                  1081   VEGETABLES PEAS AND CARROTS CANNED
103224                  1407                             MOLASSES
104067                  2670        FRUIT DRINKS AND MIXES FROZEN
104361                  8401               VITAMINS B COMPLEX W C
104700                  2610                                  ICE
105996                  6018              TRASH AND RECYCLING BIN
106458                  7044                         SALT THAWING
106560                  4400                       FRESH POTATOES
106575                  8402             TOOTH AND GUM ANALGESICS
107331                  7214  INSECTICIDE HOUSE GARDEN OTHER FRMS
107547                  2662    FRUIT JUICE UNCONCENTRATED FROZEN
108540                  1453                      MIXES ICE CREAM
109605                  3627             DAIRY CREAM REFRIGERATED
110259                  1085           VEGETABLES POTATOES CANNED
110928                  5020                          MALT LIQUOR
111816                  1299          PET CARE DOMESTIC BIRD FOOD
112095                  7767  COOKER STEAMER DEHYDRATOR APPLIANCE
112743                  5039    CORDIALS AND PROPRIETARY LIQUEURS
113106                  1065    VEGETABLES BEANS REMAINING CANNED
113139                  7466                      TOBACCO CHEWING
113910                  1079     VEGETABLES PEAS REMAINING CANNED
113976                  2692                   PASTA PLAIN FROZEN
114633                  8516              PAIN REMEDIES ARTHRITIS
114711                  1191                       COOKING SPRAYS
115596                  4015                        FRESH SPROUTS
116676                  1184                            DIP MIXES
117102                  4275                        FRESH LETTUCE
117108                  1430           PUDDING PIE FILLING CANNED
118569                  8552              DEODORANTS COLOGNE TYPE
118734                  7851          LAUNDRY BASKETS AND HAMPERS
118803                  7801                   FOOTWEAR ACCESSORY
119979                  1418          BAKING CHIPS MILK CHOCOLATE
120102                  3592     DAIRY FLAVORED MILK REFRIGERATED
120303                  1061        VEGETABLES BEANS WAXED CANNED
121290                  8484                  COSMETICS REMAINING
121458                  1315                            BEANS DRY
122334                  1295                             BOUILLON
125043                  8618            ORAL HYGIENE TRAVEL PACKS
126594                  7216     INSECTICIDE FLEA AND TICK LIQUID
127389                  1062   VEGETABLES BEANS WHT NRTHR NVY CND
127548                  7653                      PENCILS COLORED
127743                  7803                      GRAIN REMAINING
128352                  7791               MEDICAL WRAP AND BRACE
128433                  1470                          BAKING SODA
129465                  1149                         OLIVES BLACK
130683                  1363                           RICE CAKES
131367                  1118                          PIZZA SAUCE
132387                  1355              CRACKERS SPRAYED BUTTER
132561                  1142                              CHILIES
132570                  8559                PAIN RELIEVING DEVICE
132957                  3563            FRUIT SALADS REFRIGERATED
133221                  3598                  COMBINATION LUNCHES
133617                  1170        SALAD AND POTATO TOPPINGS DRY
134637                  8527         BABY CARE PRODUCTS OINTMENTS
134712                  1126          GRAVY AIDS AND BEEF EXTRACT
134970                  1438    BAKING CHIPS OTHER THAN CHOCOLATE
135768                  1028               CANNED FRUIT REMAINING
135789                  2680                FROZEN MEAT REMAINING
138156                  6025                          PET APPAREL
138327                  1365             ICE CREAM CONES AND CUPS
138687                  7659                              MARKERS
142332                  1324                 SNACKS POTATO STICKS
142599                  1009             CRANBERRIES SHELF STABLE
143868                  1076   VEGETABLES BEANS KIDNEY RED CANNED
144321                  7777   HUMIDIFIER AND VAPORIZER APPLIANCE
144339                  8417                      THROAT LOZENGES
145524                  1343                    BREADING PRODUCTS
145548                  8615     BLOOD PRESSURE KIT AND ACCESSORY
145890                  1317                           BARLEY DRY
146748                  2616        ENTREES MEXICAN 2 FOOD FROZEN
147132                  7070                    FABRIC PROTECTORS
155382                  1087        VEGETABLES BEANS PINTO CANNED
156141                  7125          ABRASIVE CLEANSERS POWDERED
157017                  1490                          COUGH DROPS
158499                  8545           PAIN REMEDIES BACK AND LEG
159759                  2652  BAKERY BREAKFAST CAKES SWT RLS FRZN
160695                  7457                PET CARE FLEA COLLARS
162645                  3650              EGGNOG FRESH AND CANNED
162648                  7758                      MIXER APPLIANCE
162651                  7763     FOOD PROCESSOR GRINDER APPLIANCE
162702                  8431      SUNTAN PREPARATIONS SNSCR SNBLC
164067                  7633    PERSONAL PLANNERS BINDERS FOLDERS
164364                  7790              BREATHING AIDS EXTERNAL
164769                  1338                        INSTANT MEALS
164913                  1253                MEXICAN REFRIED BEANS
164949                  1034                    FRUIT JUICE GRAPE
164964                  1545                        FRUIT SPREADS
165273                  7270                              TAMPONS
165621                  8399    VITAMINS TONICS LIQUID AND POWDER
165849                  1199                    SEAFOOD ANCHOVIES
167535                  1435                              COCONUT
168264                  8556                    RAZORS DISPOSABLE
168375                  8487                         RAZOR BLADES
169389                  1138    SAUCE AND SEASONING MIX REMAINING
170148                  4085                    FRESH CRANBERRIES
170337                  1063      VEGETABLES BEANS MEAT SHLF STBL
170343                  1088        VEGETABLES BEANS CHILI CANNED
170373                  1074             VEGETABLES HOMINY CANNED
171201                  4010                         FRESH APPLES
171552                  7882                     BATTERY CHARGERS
171570                  1001              PET HEALTH AND GROOMING
171645                  3545              CHEESE NATURAL MUENSTER
171732                  7745           BEVERAGE STORAGE CONTAINER
171876                  1410                                 JAMS
174645                  7806       FRUIT AND VEGETABLE IN ALCOHOL
174780                  8424                    DIURETIC REMEDIES
175362                  1424                              RAISINS
175398                  1135                  SAUCE MIX MEAT LOAF
175689                  6016          CANDLE HOLDER AND ACCESSORY
176040                  7045                FABRIC WASHES SPECIAL
176085                  1451                   TEA HERBAL INSTANT
177138                  1419               BUTTER FRUIT AND HONEY
178647                  4060                         FRESH CELERY
178797                  8532            FIRST AID HYDROCORTISONES
178806                  8453            TALCUM AND DUSTING POWDER
180918                  7025              DISHWASHER RINSING AIDS
181377                  7760                     JUICER APPLIANCE
182583                  5026              BOURBON STRAIGHT BONDED
182739                  5060                   WINE NON ALCOHOLIC
182817                  3562          GELATIN SALADS REFRIGERATED
183432                  1050                 SOFT DRINKS POWDERED
183441                  7756   TOASTER AND TOASTER OVEN APPLIANCE
183636                  8557                HAIR COLORING COSTUME
183717                  1310                  DOG FOOD MOIST TYPE
183726                  7227                              INCENSE
184032                  6022            KITCHEN ACCESSORY PRODUCT
184518                  1459                            TEA MIXES
184794                  7380             LIGHTER FLUID AND FLINTS
185202                  7769             MICROWAVE OVEN APPLIANCE
185736                  1368               BREAD SPECIALTY CANNED
185886                  2678              TOPPINGS WHIPPED FROZEN
185940                  1046         FRUIT PUNCH BASES AND SYRUPS
185976                  3594                TOPPINGS REFRIGERATED
189276                  1137             SEASONING MIX SLOPPY JOE
189786                  1389           CAKE DECORATIONS AND ICING
190884                  1446                GELATIN SWEETENED MIX
190890                  1447                     GELATIN DIET MIX
190911                  1454                     PUDDING DIET MIX
190944                  1449                        FRUIT PECTINS
191589                  7789   AIR PURIFIER AND CLEANER APPLIANCE
192963                  1361                      CRACKERS OYSTER
193281                  8534                      PETROLEUM JELLY
193626                  8415                  PROTEIN SUPPLEMENTS
193923                  1426                                DATES
195060                  2654                  BAKERY BREAD FROZEN
195657                  1213              CORNED BEEF HASH CANNED
196269                  1131                  SAUCE MIX SPAGHETTI
196332                  1472    MONOSODIUM GLUTAMATE FLAVOR ENHNC
196749                  7757                    BLENDER APPLIANCE
196983                  1316        PEAS AND LENTILS AND CORN DRY
196998                  1090                       PUMPKIN CANNED
197943                  8432                        SLEEPING AIDS
198324                  8416             FEMININE HYGIENE DOUCHES
201237                  1180                SANDWICH SPREADS MEAT
201534                  1228                   DEVILED HAM CANNED
205464                  7778        FAN AND CEILING FAN APPLIANCE
206151                  2671                        YOGURT FROZEN
206223                  1378                        FOOD COLORING
206298                  1077             VEGETABLES ONIONS CANNED
206589                  7781     HAIR STYLING APPLIANCE ACCESSORY
207156                  1005                         GLAZES FRUIT
208749                  1102             VEGETABLES GREENS CANNED
210108                  7204   INSECTICIDE ANT ROACH REGULAR ARSL
210198                  1052                    ICE POPS UNFROZEN
211224                  8426    FEMININE HYGIENE DEODORANT SPRAYS
212550                  1509                       NUTS UNSHELLED
212727                  7208     INSECTICIDE ANT AND ROACH LIQUID
212886                  7240                  DYE AND DYE REMOVER
212937                  1480             COOKING BAGS W SEASONING
213021                  8518                        ADHESIVE TAPE
213408                  8442                   MEDICATED PRODUCTS
213531                  1417                            PRESERVES
214233                  1428                  CHERRIES MARASCHINO
215067                  5040                  ALCOHOLIC COCKTAILS
215121                  8398        COMPLETE NUTRITIONAL PRODUCTS
215199                  7360                              MATCHES
215781                  1379                EGG COLORING KITS DYE
216123                  8439           SANITARY BELTS AND PANTIES
219321                  2673                 ICE MILK AND SHERBET
222735                  1402                      SUGAR REMAINING
222801                  2679     SEAFOOD REMAINING BREADED FROZEN
223842                  7187  INSECTICIDE MISCELLANEOUS FLY PRDCT
227049                  1095  VEGETABLES SQUASH AND RUTABAGAS CND
229902                  1239                    SCRAPPLE AND MUSH
230481                  1179             SALAD DRESSING MIXES DRY
233235                  8488                RAZORS NON DISPOSABLE
235950                  3582         FRANKS COCKTAIL REFRIGERATED
236223                  1468                    CREAMERS POWDERED
236763                  8411               GERMICIDAL ANTISEPTICS
236988                  1133                  SEASONING MIX CHILI
238650                  8430                    RECTAL MEDICATION
240219                  2638     VEGETABLES ONIONS BREADED FROZEN
240696                  1189              COOKING WINE AND SHERRY
242688                  3616                   PIZZA REFRIGERATED
242757                  7332    COFFEE AND TEA FILTERS DISPOSABLE
245493                  7782     ORAL HYGIENE APPLIANCE ACCESSORY
245979                  1096          VEGETABLES SUCCOTASH CANNED
249927                  8475         COSMETICS APPLICATOR BRUSHES
249981                  1054               VEGETABLE JUICE TOMATO
254415                  1223            MEAT PRODUCTS MISC CANNED
257661                  3567             BRATWURST AND KNOCKWURST
258657                  1246                        TURKEY CANNED
260796                  1015              PET COLLARS AND LEASHES
268092                  3552                       CHEESE RICOTTA
268569                  8526               BABY CARE PRODUCTS OIL
270000                  8422                    DIARRHEA REMEDIES
270051                  1209            SEAFOOD TUNA SHELF STABLE
270777                  6036    DRY ERASE BULLETIN BOARD ACCESORY
270792                  1057         VEGETABLES ARTICHOKES CANNED
270993                  7210                 PESTICIDES REMAINING
271887                  1204               SEAFOOD OYSTERS CANNED
271971                  8531          FIRST AID ICE AND HEAT PACK
272532                  4140                         FRESH GARLIC
272856                  6037          FALSE EYELASH AND ACCESSORY
274272                  7213            INSECTICIDE INDOOR FOGGER
274686                  1394             MIXES DUMPLING AND KUGEL
275547                  1357                   CRACKERS REMAINING
276180                  1256                       RAVIOLI CANNED
276285                  1260                     SPAGHETTI CANNED
276327                  7202    INSCT FLYNG CRWLNG INSCT STRP SLD
279378                  8498                 SHAVE CREAMS WOMEN'S
282207                  7748   WATER FILTRATION STORAGE CONTAINER
282522                  1443           INSTANT BREAKFAST POWDERED
283431                  3626        DAIRY BUTTERMILK REFRIGERATED
284316                  1069        VEGETABLES RED CABBAGE CANNED
284337                  1267                  BEAN SPROUTS CANNED
288681                  1350                             CROUTONS
288927                  1051                           CLAM JUICE
289695                  8553                 FIRST AID GAUZE PADS
290139                  8525            BABY CARE PRODUCTS POWDER
290376                  8466                     MANICURING NEEDS
290634                  1200                 SEAFOOD CLAMS CANNED
291099                  1272         BABY MILK AND MILK FLAVORING
292401                  8513          PAIN REMEDIES PRE MENSTRUAL
293598                  6005       FALSE NAIL AND NAIL DECORATION
293763                  7421                                 FILM
294747                  7773                     HEATER APPLIANCE
296898                  7762  ELECTRIC KNIFE AND PEELER APPLIANCE
298200                  6026                    SHAVING ACCESSORY
298926                  1116                          GLAZES MEAT
304242                  3581              HAM CANNED REFRIGERATED
306813                  7636  HOME SCHOOL AND OFFICE COMBINATIONS
306819                  7770   REFRIGERATOR AND FREEZER APPLIANCE
307017                  1415                            MARMALADE
310449                  7100                              AMMONIA
311193                  2635            VEGETABLES BREADED FROZEN
311265                  1004                  CONFECTIONERY PASTE
311433                  8530               FIRST AID THERMOMETERS
311805                  8550        COSMETICS NAIL POLISH REMOVER
311808                  7635  SCHOOL AND OFFICE STORAGE DISPENSER
312513                  8445           BABY CARE PRODUCTS LOTIONS
314184                  4470                   FRESH STRAWBERRIES
314691                  3569      MEAT AND SANDWICH SPREADS RFRGR
317316                  8510                            EAR DROPS
317814                  1078            VEGETABLES ONIONS INSTANT
320352                  7795                   MOTH PREVENTATIVES
322566                  7371                   WOOD CHIPS COOKING
322707                  1153                               CAPERS
325722                  8476                        COSMETIC KITS
326343                  1423                         PRUNES DRIED
326733                  2690           FROZEN MEAT SANDWICH STEAK
328167                  1432                       TOPPINGS MIXES
328626                  1203                  SEAFOOD CRAB CANNED
328875                  1262                       LASAGNA CANNED
328917                  1258       MACARONI PRODUCTS SHELF STABLE
329601                  1035        FRUIT JUICE GRAPEFRUIT CANNED
333432                  1247                                MATZO
335649                  7145                        OVEN CLEANERS
337608                  8448     SUNTAN PREPARATIONS LTNS OLS ETC
339828                  8494                           MEN'S SETS
342879                  1092                  POTATO SALAD CANNED
345909                  1235                       SAUSAGE CANNED
347400                  1215                    ROAST BEEF CANNED
348660                  1241                     MATZO MEAL MIXES
350220                  7116              TOILET BOWL DEODORIZERS
352749                  1457                         TEA PACKAGED
355392                  4055                    FRESH CAULIFLOWER
355509                  7185    INSECTICIDE FLEA AND TICK AEROSOL
358143                  8446             BABY BOTTLES AND NIPPLES
360210                  1219       BARBECUED BEEF AND PORK CANNED
363369                  0750                       REFERENCE CARD
363495                  0458                    REFERENCE CARD RX
370242                  0447   REFERENCE CARD CHEESE CLERK SERVED
370383                  0463   REFERENCE CARD COLD CUTS SELF SRVD
370503                  0460            REFERENCE CARD VEGETABLES
371316                  0455                  REFERENCE CARD MEAT
372705                  0459              REFERENCE CARD TAKE OUT
373644                  0456                 REFERENCE CARD PHOTO
373836                  0453                REFERENCE CARD FRUITS
376197                  0464               REFERENCE CARD POULTRY
378582                  0468  REFERENCE CARD BAKED GOODS ALL OTHR
380538                  8447    BABY PACFR TEETHR BOTTLE NPL BRSH
381330                  5027                      BOURBON BLENDED
382479                  7702       THERMOMETERS HOUSEHOLD OUTDOOR
385596                  1335                     DUMPLINGS CANNED
386994                  4415                       FRESH RADISHES
389592                  2646          DOUGH PRODUCTS BREAD FROZEN
415359                  0451                REFERENCE CARD FLORAL
418593                  0462    REFERENCE CARD CHEESE SELF SERVED
430254                  7798            CIGARETTE AND CIGAR PAPER
431409                  7183   INSECTICIDE ROACH TRAPS AND MOTELS
431535                  5028                     CANADIAN WHISKEY
434934                  5056                         WINE SANGRIA
435897                  2689                     FROZEN MEAT PORK
437505                  5032                                  GIN
439782                  2655   BAKERY COOKIES RTE COOKIE DGH FRZN
440424                  0449  REFERENCE CARD COLD CUTS CLERK SRVD
441414                  0467      REFERENCE CARD BAKED GOODS PIES
442248                  7418              AUTOMOTIVE COMBINATIONS
442629                  1008                 CANNED FRUIT BERRIES
448449                  1249        MEXICAN SPECIALTIES REMAINING
452217                  5054                    WINE KOSHER TABLE
452913                  0450             REFERENCE CARD DVD VIDEO
472293                  0448                REFERENCE CARD COFFEE
472689                  0457        REFERENCE CARD PREPARED FOODS
484452                  0466   REFERENCE CARD BAKED GOODS COOKIES
485166                  0469              REFERENCE CARD MEAL KIT
485511                  8464    COSMETICS NONCOTTON APLCT PFS ETC
486585                  5034                                  RUM
487980                  7572             SPORTS AND NOVELTY CARDS
491478                  1481  COCKTAIL PRODUCTS BITTERS AND HEADS
500907                  0465               REFERENCE CARD SEAFOOD
505956                  2686   SEAFOOD REMAINING UNBREADED FROZEN
519903                  5031                               SCOTCH
524808                  0452     REFERENCE CARD FOUNTAIN BEVERAGE
540276                  1230               SPREADS HORS D'OEUVRES
542847                  1408    GRAHAM CRACKER AND DESSERT CRUMBS
543453                  5029                        IRISH WHISKEY
543456                  5059          WINE SWEET DESSERT IMPORTED
544968                  2687               FROZEN MEAT BEEF STEAK
545127                  8538                   JOCK ITCH PRODUCTS
545322                  8621                       CELLULAR PHONE
546702                  7761             POPCORN POPPER APPLIANCE
546948                  8418               COLD REMEDIES CHILDREN
547062                  8434                CONTACT LENS SOLUTION
547923                  5030                    REMAINING WHISKEY
548547                  5005                     STOUT AND PORTER
550503                  5058          WINE SWEET DESSERT DOMESTIC
551163                  2674         FRUIT JUICE REMAINING FROZEN
552012                  8544                  ENEMAS READY TO USE
565002                  2642            VEGETABLES CARROTS FROZEN
565059                  2645        SEAFOOD CRAB UNBREADED FROZEN
567264                  0461               REFERENCE CARD APPAREL
578724                  1006                  CANNED FRUIT APPLES
578787                  0454                   REFERENCE CARD GAS
587061                  8514      PAIN REMEDIES CHILDREN'S LIQUID
587427                  8546                  VAPORIZING PRODUCTS
588276                  8396                 DAIRY DIGESTIVE AIDS
588510                  8533                FIRST AID GAUZE ROLLS
590202                  5035                              TEQUILA
592065                  7182                INSECTICIDE ANT TRAPS
594708                  8493                   DEPILATORIES MEN'S
595143                  8622    OVULATION AND FERTILITY TEST KITS
595641                  0446      REFERENCE CARD CANDY NUTS SEEDS
603714                  0445     REFERENCE CARD BAKED GOODS CAKES
614568                  7735                         BODY WARMERS
625134                  7302                           BAGS PAPER
627408                  8300                CONTRACEPTIVES FEMALE
671970                  8611     CHILDREN'S COLOGNE AND GIFT SETS
673929                  8500                   BRONCHIAL REMEDIES
676668                  7766          FRYER SKILLET WOK APPLIANCE
687897                  8777                  HAIR GROWTH PRODUCT
688563                  3549        CHEESE NATURAL AMERICAN COLBY
689688                  1374      MIXES CAKE SPECIALTY 10 OZ UNDR
691200                  8410         COUGH AND COLD THROAT SPRAYS
691743                  8606                     INSULIN SYRINGES
692673                  7812               INFANT TODDLER FEEDING
693867                  7740                    COMPUTER SOFTWARE
698088                  8616   SUN EXPOSURE DETECTOR PRODUCT TPCL
699021                  8477                      HOME PERMANENTS
703029                  7155                     CLEANERS POWDERS
703365                  2653  BAKERY COBBLER DUMPLINGS STRDL FRZN
704724                  7075                           BLEACH DRY
707193                  1013              CANNED FRUIT GRAPEFRUIT
709023                  1027                  CANNED FRUIT PRUNES
710061                  1039                    FRUIT JUICE PRUNE
711849                  7765                PASTA MAKER APPLIANCE
716361                  8529              HAIR PREPARATIONS MEN'S
718785                  7467        ELECTRONIC CIGARETTES SMOKING
720090                  8501          PAIN REMEDIES URINARY TRACT
727965                  1132                     SAUCE MIX CHEESE
728394                  8409                    BREATH FRESHENERS
729966                  7142      CLEANERS HUMIDIFIERS VAPORIZERS
731265                  8479  SHAMPOO BARS CONCENTRATES AND CREAM
737451                  7788            AIR CONDITIONER APPLIANCE
738810                  3610                                 LARD
741384                  2648              BAKERY DOUGHNUTS FROZEN
751326                  1467                   COFFEE SUBSTITUTES
755298                  4180                     FRESH GRAPEFRUIT
757209                  1264         ASIAN FOODS CHOW MEIN CANNED
765300                  2632                   PIZZA CRUST FROZEN
780315                  7768     ICE CREAM YOGURT MAKER APPLIANCE
780507                  7529                BRUSHES MISCELLANEOUS
780717                  7771           BURNER AND RANGE APPLIANCE
791622                  1349                           WHEAT GERM
802740                  1462                  TEA HERBAL PACKAGED
802959                  7855                          CLOTHESPINS
813267                  7744                       BATHROOM SCALE
843555                  1342                        EGG MIXES DRY
857544                  7731                           CANNED AIR
875952                  8903             VIDEO AND COMPUTER GAMES
896937                  7465                  ANTISMOKING PRODUCT
931572                  1117                       MUSHROOM SAUCE
944073                  2666             FRUIT JUICE APPLE FROZEN
975603                  2663        FRUIT JUICE GRAPEFRUIT FROZEN
1035147                 8548                  NURSING ACCESSORIES
1069458                 7887              HOUSEHOLD SMART PRODUCT
1093767                 7759                 CAN OPENER APPLIANCE
1094652                 1024                CANNED FRUIT CHERRIES
1116681                 2647                 BAKERY BAGELS FROZEN
1130580                 2668             FRUIT JUICE GRAPE FROZEN
1162041                 1173   SALAD DRESSING \MIRACLE WHIP\ TYPE
1171500                 7723      LABEL MAKERS AND LABEL PRINTERS
1250730                 1409         SALT CANNING PICKLING CURING
1287411                 3601               CRACKLINS REFRIGERATED
1298547                 1240                PICKLED PORK PRODUCTS
1334667                 7531                   BRUSHES AUTOMOTIVE
1374072                 2637  VEGETABLES MUSHROOMS BREADED FROZEN
1380897                 1511                           CANDY KITS
1388478                 7203     INSECTICIDE FLYING INSECT LIQUID
1388691                 7776      POWER PRESSURE WASHER APPLIANCE
1403517                 1439                         TAPIOCA PURE
1507398                 1198                        ANCHOVY PASTE
1515774                 7217           INSECTICIDE OUTDOOR FOGGER
1529865                 1429                         FRUIT GLAZED
1531455                 7221               SNAIL AND SLUG KILLERS
1549407                 7728         ELECTRONIC PENCIL SHARPENERS
1593129                 7804                      DISPOSABLE LIDS
1786722                 1530    DIETING AIDS APPETITE SUPPRESSANT
1795545                 1208                SEAFOOD SHRIMP CANNED
1825407                 1304                  CAT FOOD MOIST TYPE
1848912                 7195                     FLOOR CARE WAXES
1879017                 8601                         SUNBURN AIDS
1880301                 1483                   COCKTAIL MIXES DRY
1886181                 7807              SEXUAL ENHANCING DEVICE
1907268                 7464                      TOBACCO SMOKING
1920444                 7872                     FLASHLIGHT BULBS
2183892                 7847                      FEATHER DUSTERS
2401607                 1026                   CANNED FRUIT PLUMS
2411060                 1427                     MINCEMEAT CANNED
2490710                 7085                              BLUINGS
2500280                 1390                       MIXES FROSTING
2510678                 3551                       CHEESE FARMERS
3270143                 7733                   PREPAID GIFT CARDS
3270146                  NaN                                  NaN
3272162                 6038  MUSICAL INSTRUMENTS AND ACCESSORIES
3302120                 3593                   YEAST REFRIGERATED
3420479                 1292                       STEW MIXES DRY
3561548                 6032     HOME ELECTRONIC CLEANING PRODUCT
3787100                 1534                 GUM BUBBLE SUGARFREE
3859154                 7040     WATER SOFTENERS AND CONDITIONERS
3933272                 1140                         FONDUE SAUCE
3983450                 1103                  GRAPE LEAVES CANNED
3997028                 2677             FROZEN CREAM SUBSTITUTES
3999476                 1322                          RICE CANNED
4084154                 1242       PREPARED SANDWICH SHELF STABLE
4094426                 1155                      COCKTAIL ONIONS
4321808                 5055                            WINE SAKE
4324610                 8541             TRANQUILIZERS CALMATIVES
4599188                 2696     TACO FILLING FROZEN REFRIGERATED
4619738                 7754                 BREADMAKER APPLIANCE
4651898                 0911                           MCIM SOCKS
4839596                 3547                 CHEESE NATURAL BRICK
5315948                 7743              FOUNTAIN BEVERAGE SYRUP
6100848                 3557    DAIRY POTATO TOPPING REFRIGERATED
6693211                 8454                     BATH OIL LIQUIDS
8035696                 1382                    MIXES COFFEE CAKE
9536844                 6091                DESCRIPTION BASE CODE
10831407                5049                       WINE APERITIFS
10941306                1245            STEW CHICKEN SHELF STABLE
11046444                8474                     HAIR SPRAY MEN'S
11833671                1037            FRUIT JUICE ORANGE CANNED
12050880                8620       GIFT PACKAGE WITH CANDY OR GUM
12185652                7737                  BLANK AUDIO PRODUCT
15478824                1029                MALE SEXUAL TREATMENT
15522395                1265            ASIAN FOODS RAMEN NOODLES
15675926                7186     INSECTICIDE FLEA AND TICK FOGGER
16759349                1048            BREAKFAST DRINKS POWDERED
17775449                7179           SPONGES CLEANSING PERSONAL
18686186                3570          GARLIC SPREADS REFRIGERATED
20991889                3584                BACON BEEF AND CANNED
22105441                7738                  BLANK VIDEO PRODUCT
22963024                1216               ROAST BEEF HASH CANNED
25988976                7200                          WAX REMOVER
[
    'trip_code_uc',
    'household_code',
    'purchase_date',
    'retailer_code',
    'store_code_uc',
    'panel_year',
    'store_zip3',
    'total_spent',
    'method_of_payment_cd',
    'projection_factor',
    'household_income',
    'household_size',
    'male_head_age',
    'female_head_age',
    'male_head_employment',
    'female_head_employment',
    'race',
    'hispanic_origin',
    'panelist_zip_code',
    'fips_state_code',
    'fips_county_code',
    'upc',
    'quantity',
    'total_price_paid',
    'coupon_value',
    'deal_flag_uc',
    'product_module_code_hms',
    'size1_amount_hms',
    'size1_unit_hms',
    'brand_descr_hms',
    'multi_hms',
    'channel_type',
    'brand',
    'brand_cd',
    'protein_gram',
    'protein_gram_cd',
    'commodity_group',
    'commodity_group_cd',
    'manufacturer_suggested_price_claim',
    'manufacturer_suggested_price_claim_cd',
    'cholesterol',
    'cholesterol_cd',
    'sodium_presence_claim',
    'sodium_presence_claim_cd',
    'fat_calorie_per_serving_size',
    'fat_calorie_per_serving_size_cd',
    'sugar_gram',
    'sugar_gram_cd',
    'competitive_category_ogrds',
    'competitive_category_ogrds_cd',
    'package_presentation_option',
    'package_presentation_option_cd',
    'additional_information',
    'additional_information_cd',
    'manufacturing_process',
    'manufacturing_process_cd',
    'serving_size_household',
    'serving_size_household_cd',
    'trans_fat_gram',
    'trans_fat_gram_cd',
    'serving_size_metric',
    'serving_size_metric_cd',
    'calories_per_serving_size',
    'calories_per_serving_size_cd',
    'secondary_size',
    'secondary_size_cd',
    'total_size',
    'total_size_cd',
    'organic_claim',
    'organic_claim_cd',
    'genetic_modification_claim',
    'genetic_modification_claim_cd',
    'total_carbohydrate_gram',
    'total_carbohydrate_gram_cd',
    'flavor',
    'flavor_cd',
    'target_group_gender',
    'target_group_gender_cd',
    'manufacturer_suggested_price',
    'manufacturer_suggested_price_cd',
    'prepriced',
    'prepriced_cd',
    'nutritional_health_claim',
    'nutritional_health_claim_cd',
    'usda_organic_seal',
    'usda_organic_seal_cd',
    'formulation',
    'formulation_cd',
    'strategic_ingredient_presence_claim',
    'strategic_ingredient_presence_claim_cd',
    'fat_presence_claim',
    'fat_presence_claim_cd',
    'price_reduction',
    'price_reduction_cd',
    'total_fat_gram',
    'total_fat_gram_cd',
    'serving_per_container',
    'serving_per_container_cd',
    'saturated_fat_gram',
    'saturated_fat_gram_cd',
    'form',
    'form_cd',
    'product_size',
    'product_size_cd',
    'base_size',
    'base_size_cd',
    'package_general_shape',
    'package_general_shape_cd',
    'calorie_claim',
    'calorie_claim_cd',
    'package_material_substance',
    'package_material_substance_cd',
    'sodium',
