(26304702, 139)
                                                     flavor  flavor_cd
0                                                       NaN        NaN
63                                           WHITE LEMONADE   64737651
141                                                 PANCAKE   65169088
159                                     BUTTER ALMOND FRUIT  236717587
162                                              UNFLAVORED   66987057
216                                               CHOCOLATE   64823218
330                                      ORANGE CREAM SWIRL   65392761
333                                   RICH CHOCOLATE ROYALE   65645334
336                                          BERRY LEMONADE   65624617
348                                             GINGER BREW   67455266
354                                         REAL GINGER ALE  169548880
363                                        CREAMY CHOCOLATE   65155096
372                                           VANILLA CREAM   66716449
375                                           CARAMEL LATTE   66491942
390                                              BUTTERMILK   66908286
393                                             HONEY WHITE   67869562
396                                          CHOCOLATE MINT   65303966
411                                                ORIGINAL   65207098
420                                              NOT STATED   67541767
435                                             ORANGE ZEST   66259295
453                                          TROPICAL PUNCH   64784030
459                                            REAL CHICKEN   65371789
462                                                  TURKEY   64991762
504                                      HOT SWEET HABANERO   67503772
537                                              CORN BREAD   66506826
633                                           PEANUT BUTTER   66763206
675                                                   HONEY   66308684
699                                    SEA SALT AND VINEGAR   67034272
744                                               HONEY NUT   65326102
813                                          CINNAMON TOAST   66893968
852                                        BOLD PARTY BLEND   66561626
873                                                   COCOA   66281670
897                                                  CITRUS   66420796
900                                                   FRUIT   67040256
903                                        STRAWBERRY HONEY   67188050
951                                         SALT AND PEPPER   67676374
963                                                   CHILI   64801141
1026                                         BRITTLE PEANUT  149743458
1044                                          WHITE CHEDDAR   65649453
1047                                             VERY BERRY   65931233
1071                                    CINNAMON OAT CRUNCH   67925502
1104                                      APPLE BROWN SUGAR   65180209
1107                                            MIXED FRUIT   66274955
1128                                               CINNAMON   66611778
1317                                      COCONUT PINEAPPLE   65432842
1365                                       CLASSIC LEMONADE   67870567
1530                                              BLUEBERRY   67445851
1533                                   CHOCOLATE CHIP FUDGE   67891190
1536                                   CARAMEL AND CINNAMON  191982226
1563                                  CINNAMON SUGAR CRUNCH  129433495
1566                                                 TURTLE   66122305
1701                                                  MAPLE   65089504
1704                                 VANILLA CREAM SMOOTHIE   66951032
1710                                            GINGER BEER   66533898
1761                                                  SWEET   67273543
1767                                             SWEET HEAT   65421868
1845                                         RICH CHOCOLATE   67706718
1848                                      COOKIES AND CREME   65965171
1857                                 STRAWBERRIES AND CREAM   66716423
1866                                    VANILLA CAKE BATTER   66398991
1869                                  CREAMY MILK CHOCOLATE   66752852
1875                             HARVEST SPICED APPLE CIDER  228499297
2103                                                   MILD   65576176
2109                                                 GINGER   65343846
2112                                     CAPPUCCINO DELIGHT   68036744
2136                                           BLACK PEPPER   64805955
2157                                     TROPICAL ADVENTURE   67842564
2163                                              FRESHMINT   65108188
2211                                               HAZELNUT   65761780
2469                                                    HOT   67195934
2511                                          FROSTED BERRY   65590504
2517                                              APPLE PIE   66666955
2589                                  CHOCOLATE AND VANILLA   67297379
2862                                                  WHITE   66520921
3006                                            TRADITIONAL   65509917
3126                                        MULTIPLE FLAVOR   66046582
3174                                         SALTED CARAMEL   66937829
3189                                             LEMON LIME   64668188
3207                                     SPARKLING ORIGINAL   64856993
3231                                         MILK CHOCOLATE   66090074
3318                                                  RANCH   65277007
3339                                                  FUDGE   67344040
3420                                              SWEET TEA   66646237
3423                                              CRANBERRY   65436494
3426                                                 ORANGE   65036952
3438                                                  APPLE   67767258
3450                                        CHOCOLATE FUDGE   67332534
3474                                       CELEBRATION CAKE   67922417
3477                                   SUPREME TRIPLE CHUNK   65605328
3549                                        FRUIT ADVENTURE   67525844
3861                                           ZESTY GARLIC   67064154
3906                                   FRUIT ADVENTURE MINT   65919861
3912                                            WINTERGREEN   67332759
3996                                                 GARLIC   65032981
4173                                       WINTERGREEN MINT   66154210
4203                                         FRENCH VANILLA   67046833
4236             CASHEWS AND ALMONDS WITH DRIED CRANBERRIES   69999038
4239                                                RED HOT   66235401
4572                                           HONEY GLAZED   67470388
4632                                                   MINT   64664560
5064                                       LEMON POPPY SEED   65386134
5088                                       CRANBERRY ORANGE   65593796
5121                               STRAWBERRY BERRY TIE DYE  140009931
5130                                                BRITTLE   68038060
5148                                          BIRTHDAY CAKE   66611163
5160                                                 ALMOND   65911212
5169                                CHOCOLATE PEANUT BUTTER   66880660
5205                                             STRAWBERRY   65015964
5337                                             CHOCOLATEY   65898017
5346                                         ROASTED GARLIC   67698550
5379                                                CHICKEN   64678620
5436               ORIGINAL CHICKEN LIVER TURKEY OCEAN FISH   65934627
5445                     CHICKEN CARROTS PEAS AND WILD RICE   66318684
5448                                REAL TURKEY AND VENISON   67648284
5457                                            HONEY LEMON   65611982
5469                                    EXTRA WHITE CHEDDAR  178203785
5481                    CHICKEN SALMON TURKEY GARDEN GREENS  110394954
5493               GROUND ENTREE BEEF LIVER AND LAMB RECIPE  106020884
5523                                                PUMPKIN   65489872
5544                           TURKEY AND BROWN RICE RECIPE   65440239
5547                                        PEACH NECTARINE   67047341
5622                                           ORANGE MANGO   65746739
5691                                        PINK GRAPEFRUIT   65357191
5790                                       CRANBERRY ALMOND   67330970
5871                                             PEPPERMINT   67115764
5877                                                  LEMON   65726670
5889                                                 YELLOW   68040215
5946                                            GOLDEN CORN   67866607
5970                                         HONEY CHIPOTLE   67055645
6042                                        BLACK RASPBERRY   65078811
6069                                         BLUE RASPBERRY   67403746
6072                                    FARM RAISED CHICKEN  104037434
6081                                        KIWI STRAWBERRY   66465663
6237                                    STRAWBERRY LEMONADE   65418337
6306                                        SWEET AND SPICY   65710009
6462                                        COCONUT LIMEADE  156739208
6465                              FRENCH VANILLA CAPPUCCINO   67732855
6480                                            REAL TURKEY   65009348
6720                                                MENTHOL   65903053
6993             WALNUTS AND ALMONDS WITH DRIED CRANBERRIES  104882122
7317                                            GARLIC HERB   66560437
7353                                            ORANGE MINT   67360845
7950                                            SAVORY BEEF   67144551
7998                                        BERRY ADVENTURE   66664551
8112                                               SRIRACHA   67707101
8601                                         PARMESAN RANCH   67996874
8658                                       CHOCOLATE CRUNCH   64900828
8667                               HONEY ALMOND FLAX CRUNCH  134396203
8859                                                 BUTTER   66914027
8913                                           HONEY BUTTER   67099434
8949                                                 SALMON   64990816
9012                                       HICKORY AND SAGE   67765282
9015                                       FARM RAISED BEEF  104109590
9042                               POULTRY LIVER OCEAN FISH  233489176
9096           WHITE MEAT CHICKEN AND WHOLE OAT MEAL RECIPE   70005270
9129                                           CREAM CHEESE   67956052
9333                    BEEF BACON CHEESE AND PEANUT BUTTER   64996859
9483                                                 PICKLE   66470519
9501                                          NOT COLLECTED   64900451
9573                                              HOT SAUCE   65509205
9579                                               JALAPENO   66259121
9786                                MINT LEMON AND CUCUMBER  190645130
10347                                          PLANT BUTTER  137378148
10407                                 MULTIPLE FLAVOR FRUIT   66640975
10491                                           SALTY SWEET   67705200
10977                                          T BONE STEAK   66383075
10986                                                RIBEYE   64713848
11007                                                CLOVER   66745719
11031                                     STRAWBERRY RAMUNE   66673502
11115                                           SWEET CHILI   65600858
11316                     REAL FARM RAISED CHICKEN AND RICE  190340566
11340                                SALMON TUNA AND SHRIMP   73749562
11355                                                  BEEF   64679713
11454                                        RANCH SEASONED   67679486
11697                                     PEACHES AND CREAM   65930727
11859                                    VIRGINIA BAKED HAM   64743359
11889                             SWEET AND SALTY HONEY NUT   66435188
11940                                        TOASTED ALMOND   66226399
11949                                              TERIYAKI   66306615
11952                                       KOREAN BARBEQUE   67511149
11979                                       SWEET BLUEBERRY   68044987
12033                                                 BERRY   64859246
12087                                      GERMAN CHOCOLATE   65878572
12099                                                 PLAIN   67676592
12162                                  FLORIDA CARAMEL FLAN  137482118
12372                                                CHERRY   67077601
12987                                    ROTISSERIE CHICKEN   66299168
13119                               BEEF CHICKEN LIVER LAMB   66309065
13362                                       ORIGINAL RAMUNE   65008270
13470                                           MIXED BERRY   65715877
13506                                          SMOKE FLAVOR   67650090
13578                                                 PEACH   65955358
13617                                             PORT WINE   65477881
13956                                       BLUEBERRY MAPLE   67289817
14121                                          FRUIT SPLASH   67274612
14142                                            KOREAN BBQ   66174608
14154                                          SOARIN APPLE  210638628
14157                                           MANGO PEACH   65394533
14211                                     APPLE WHITE GRAPE   66952175
14220                              ORANGE OCEAN FRUIT PUNCH   67380789
14226                                    BERRY BLUE TYPHOON   67820751
14448                                         PUMPKIN SPICE   64672101
14667                        CHERRY LEMON ORANGE STRAWBERRY   65784272
14682                                     STRAWBERRY YOGURT   65505884
14688                                         OAT AND HONEY   65624812
14946                                       BEEF TENDERLOIN   65732052
14952                                           PORTERHOUSE   66824610
15657                                                 ONION   66496550
15720                                              BBQ PORK   64660244
15750                                 VERMONT MAPLE BOURBON  137481998
15963                                                  COLA   66809359
16074                                          MELON RAMUNE   67941266
16092                                      SWEET MAUI ONION   67130060
16179                                                  LIME   65519795
16239                                        MILKED ALMONDS  103987485
16242                 ASIAN SESAME VINAIGRETTE AND MARINADE  229788383
16329                                              SEA SALT   66768618
16398                                    AGED WHITE CHEDDAR   67976476
16422                             ENGLISH TOFFEE CAPPUCCINO   66149752
16551                                         HONEY MUSTARD   65356645
16689                            BEEF AND BROWN RICE ENTREE   66504032
16692                               REAL CHICKEN AND SALMON   65171494
16698                                    REAL BEEF AND RICE  110745619
16701                                         BEEF AND RICE   65899301
16704                                      CHICKEN AND RICE   67889739
16716                                    WILD SALMON RECIPE   66663350
16926                   VARIETY BEEF CHICKEN LIVER AND LAMB   65050721
17070                                          CHERRY BUBLY  103669286
17082                                      BLACKBERRY BUBLY  129504902
17187                                   BLUE RASPBERRY RUSH   65167325
17214                                             PINEAPPLE   67837049
17223                                      TROPICAL SUNRISE   67196259
17238                                       PINEAPPLE MANGO   66656565
17280                                      SUBTLY SWEET TEA  226547813
17283                                               MYSTERY   67939126
17286                                           EXTRA SWEET   67165820
17325                            HALF AND HALF TEA LEMONADE   65719051
17400                                                  CANE   66346398
17607                                               CLASSIC   66955882
17652                                          SPICY PEPPER   66851376
17802                   MILD ROASTED PINEAPPLE AND HABANERO  141445608
17838                                                TUSCAN   64656535
17895                                  TROPICAL LIME CITRUS   67298715
18057                                      WILD CHERRY COLA   66252030
18177                                             ROOT BEER   66466567
18195                                    ESPRESSO AND CREAM   65465153
18204                                             CRANGRAPE   65421513
18225                                 BLACK CHERRY TARRAGON  158702461
18228                                     CARAMEL MACCHIATO   66883530
